7.52E-41;7.19E-41;4;8;2023-11-27 09:30:16.458641;32;7.30E-41
6.31E-41;5.06E-41;6;8;2023-11-27 09:30:16.458641;33;7.53E-41
3.60E-41;2.16E-41;8;8;2023-11-27 09:30:16.458641;33;7.20E-41
9.74E-42;2.06E-42;10;8;2023-11-27 09:30:16.459406;34;6.32E-41
3.22E-43;5.60E-42;12;8;2023-11-27 09:30:16.459406;34;5.07E-41
1.27E-41;2.54E-41;14;8;2023-11-27 09:30:16.459406;35;3.61E-41
3.86E-41;5.31E-41;0;9;2023-11-27 09:30:16.459406;35;2.16E-41
6.50E-41;7.28E-41;2;9;2023-11-27 09:30:16.459406;36;9.75E-42
7.52E-41;7.22E-41;4;9;2023-11-27 09:30:16.459406;36;2.05E-42
6.36E-41;5.12E-41;6;9;2023-11-27 09:30:16.465497;37;3.21E-43
3.66E-41;2.21E-41;8;9;2023-11-27 09:30:16.465497;37;5.60E-42
1.01E-41;2.23E-42;10;9;2023-11-27 09:30:16.465497;38;1.27E-41
3.22E-43;4.37E-42;12;9;2023-11-27 09:30:16.465497;38;2.54E-41
1.18E-41;2.40E-41;14;9;2023-11-27 09:30:16.465497;39;3.85E-41
3.90E-41;5.34E-41;0;8;2023-11-27 09:30:16.465497;39;5.30E-41
6.53E-41;7.29E-41;2;8;2023-11-27 09:30:16.465497;40;6.49E-41
7.52E-41;7.19E-41;4;8;2023-11-27 09:30:16.466400;40;7.27E-41
6.31E-41;5.06E-41;6;8;2023-11-27 09:30:16.466400;41;7.51E-41
3.61E-41;2.16E-41;8;8;2023-11-27 09:30:16.471552;41;7.21E-41
9.75E-42;2.05E-42;10;8;2023-11-27 09:30:16.471552;42;6.35E-41
3.22E-43;5.58E-42;12;8;2023-11-27 09:30:16.471552;42;5.11E-41
1.27E-41;2.54E-41;14;8;2023-11-27 09:30:16.471552;43;3.66E-41
3.86E-41;5.31E-41;0;9;2023-11-27 09:30:16.471552;43;2.21E-41
6.50E-41;7.28E-41;2;9;2023-11-27 09:30:16.471552;44;1.00E-41
7.53E-41;7.22E-41;4;9;2023-11-27 09:30:16.471552;44;2.22E-42
6.36E-41;5.12E-41;6;9;2023-11-27 09:30:16.471552;45;3.22E-43
3.66E-41;2.22E-41;8;9;2023-11-27 09:30:16.471552;45;4.37E-42
1.01E-41;2.23E-42;10;9;2023-11-27 09:30:16.477434;46;1.17E-41
3.17E-43;4.63E-42;12;9;2023-11-27 09:30:16.477434;46;2.40E-41
1.18E-41;2.40E-41;14;9;2023-11-27 09:30:16.477434;47;3.90E-41
3.90E-41;5.34E-41;0;8;2023-11-27 09:30:16.477434;47;5.35E-41
6.53E-41;7.29E-41;2;8;2023-11-27 09:30:16.477434;48;6.53E-41
7.52E-41;7.19E-41;4;8;2023-11-27 09:30:16.477434;48;7.30E-41
6.32E-41;5.06E-41;6;8;2023-11-27 09:30:16.477434;49;7.53E-41
3.61E-41;2.16E-41;8;8;2023-11-27 09:30:16.477434;49;7.20E-41
9.74E-42;2.05E-42;10;8;2023-11-27 09:30:16.478401;50;6.32E-41
3.25E-43;5.60E-42;12;8;2023-11-27 09:30:16.484734;50;5.07E-41
1.27E-41;2.54E-41;14;8;2023-11-27 09:30:16.484734;51;3.61E-41
3.85E-41;5.30E-41;0;9;2023-11-27 09:30:16.484734;51;2.17E-41
6.49E-41;7.27E-41;2;9;2023-11-27 09:30:16.484734;52;9.75E-42
7.52E-41;7.21E-41;4;9;2023-11-27 09:30:16.484734;52;2.06E-42
6.35E-41;5.11E-41;6;9;2023-11-27 09:30:16.484734;53;3.24E-43
3.66E-41;2.21E-41;8;9;2023-11-27 09:30:16.484734;53;5.57E-42
1.00E-41;2.23E-42;10;9;2023-11-27 09:30:16.485314;54;1.27E-41
3.21E-43;4.44E-42;12;9;2023-11-27 09:30:16.485314;54;2.54E-41
1.17E-41;2.40E-41;14;9;2023-11-27 09:30:16.490514;55;3.85E-41
3.90E-41;5.35E-41;0;8;2023-11-27 09:30:16.490514;55;5.30E-41
6.54E-41;7.30E-41;2;8;2023-11-27 09:30:16.490514;56;6.50E-41
7.53E-41;7.20E-41;4;8;2023-11-27 09:30:16.490514;56;7.28E-41
6.32E-41;5.07E-41;6;8;2023-11-27 09:30:16.490514;57;7.52E-41
3.61E-41;2.17E-41;8;8;2023-11-27 09:30:16.490514;57;7.22E-41
9.75E-42;2.06E-42;10;8;2023-11-27 09:30:16.490514;58;6.36E-41
3.24E-43;5.61E-42;12;8;2023-11-27 09:30:16.490514;58;5.11E-41
1.27E-41;2.54E-41;14;8;2023-11-27 09:30:16.490514;59;3.66E-41
3.85E-41;5.30E-41;0;9;2023-11-27 09:30:16.497539;59;2.21E-41
6.49E-41;7.26E-41;2;9;2023-11-27 09:30:16.497539;60;1.00E-41
7.51E-41;7.20E-41;4;9;2023-11-27 09:30:16.497539;60;2.23E-42
6.35E-41;5.11E-41;6;9;2023-11-27 09:30:16.497539;61;3.21E-43
3.66E-41;2.21E-41;8;9;2023-11-27 09:30:16.497539;61;4.31E-42
1.00E-41;2.23E-42;10;9;2023-11-27 09:30:16.497539;62;1.18E-41
3.18E-43;4.42E-42;12;9;2023-11-27 09:30:16.497539;62;2.40E-41
1.17E-41;2.40E-41;14;9;2023-11-27 09:30:16.497539;63;3.90E-41
3.90E-41;5.35E-41;0;8;2023-11-27 09:30:16.497539;63;5.34E-41
6.53E-41;7.30E-41;2;8;2023-11-27 09:30:16.503510;64;6.52E-41
7.53E-41;7.20E-41;4;8;2023-11-27 09:30:16.503510;64;7.29E-41
6.32E-41;5.07E-41;6;8;2023-11-27 09:30:16.503510;65;7.52E-41
3.61E-41;2.17E-41;8;8;2023-11-27 09:30:16.503510;65;7.19E-41
9.76E-42;2.05E-42;10;8;2023-11-27 09:30:16.503510;66;6.31E-41
3.25E-43;5.62E-42;12;8;2023-11-27 09:30:16.503510;66;5.06E-41
1.27E-41;2.54E-41;14;8;2023-11-27 09:30:16.503510;67;3.60E-41
3.85E-41;5.30E-41;0;9;2023-11-27 09:30:16.503510;67;2.16E-41
6.49E-41;7.27E-41;2;9;2023-11-27 09:30:16.503510;68;9.74E-42
7.51E-41;7.21E-41;4;9;2023-11-27 09:30:16.509532;68;2.06E-42
6.35E-41;5.11E-41;6;9;2023-11-27 09:30:16.509532;69;3.22E-43
3.66E-41;2.21E-41;8;9;2023-11-27 09:30:16.509532;69;5.60E-42
1.00E-41;2.23E-42;10;9;2023-11-27 09:30:16.509532;70;1.27E-41
3.19E-43;4.47E-42;12;9;2023-11-27 09:30:16.509532;70;2.54E-41
1.17E-41;2.40E-41;14;9;2023-11-27 09:30:16.509532;71;3.86E-41
3.90E-41;5.35E-41;0;8;2023-11-27 09:30:16.509532;71;5.31E-41
6.53E-41;7.30E-41;2;8;2023-11-27 09:30:16.509532;72;6.50E-41
7.52E-41;7.19E-41;4;8;2023-11-27 09:30:16.509532;72;7.28E-41
6.32E-41;5.07E-41;6;8;2023-11-27 09:30:16.516687;73;7.52E-41
3.61E-41;2.16E-41;8;8;2023-11-27 09:30:16.516687;73;7.22E-41
9.74E-42;2.06E-42;10;8;2023-11-27 09:30:16.516687;74;6.36E-41
3.25E-43;5.57E-42;12;8;2023-11-27 09:30:16.516687;74;5.12E-41
1.27E-41;2.54E-41;14;8;2023-11-27 09:30:16.516687;75;3.66E-41
3.85E-41;5.31E-41;0;9;2023-11-27 09:30:16.516687;75;2.21E-41
6.50E-41;7.28E-41;2;9;2023-11-27 09:30:16.516687;76;1.01E-41
7.52E-41;7.22E-41;4;9;2023-11-27 09:30:16.516687;76;2.23E-42
6.36E-41;5.11E-41;6;9;2023-11-27 09:30:16.516687;77;3.22E-43
3.66E-41;2.21E-41;8;9;2023-11-27 09:30:16.522693;77;4.37E-42
1.01E-41;2.23E-42;10;9;2023-11-27 09:30:16.522693;78;1.18E-41
3.24E-43;4.42E-42;12;9;2023-11-27 09:30:16.522693;78;2.40E-41
1.18E-41;2.40E-41;14;9;2023-11-27 09:30:16.522693;79;3.90E-41
3.90E-41;5.34E-41;0;8;2023-11-27 09:30:16.522693;79;5.34E-41
6.52E-41;7.29E-41;2;8;2023-11-27 09:30:16.522693;80;6.53E-41
7.52E-41;7.19E-41;4;8;2023-11-27 09:30:16.522693;80;7.29E-41
6.31E-41;5.06E-41;6;8;2023-11-27 09:30:16.522693;81;7.52E-41
3.61E-41;2.16E-41;8;8;2023-11-27 09:30:16.522693;81;7.19E-41
9.74E-42;2.05E-42;10;8;2023-11-27 09:30:16.527694;82;6.31E-41
3.21E-43;5.56E-42;12;8;2023-11-27 09:30:16.527694;82;5.06E-41
1.27E-41;2.54E-41;14;8;2023-11-27 09:30:16.527694;83;3.61E-41
3.85E-41;5.31E-41;0;9;2023-11-27 09:30:16.528693;83;2.16E-41
6.50E-41;7.28E-41;2;9;2023-11-27 09:30:16.528693;84;9.75E-42
7.53E-41;7.22E-41;4;9;2023-11-27 09:30:16.528831;84;2.05E-42
6.36E-41;5.12E-41;6;9;2023-11-27 09:30:16.528831;85;3.22E-43
3.66E-41;2.21E-41;8;9;2023-11-27 09:30:16.528831;85;5.58E-42
1.00E-41;2.22E-42;10;9;2023-11-27 09:30:16.528831;86;1.27E-41
3.18E-43;4.31E-42;12;9;2023-11-27 09:30:16.535695;86;2.54E-41
1.18E-41;2.40E-41;14;9;2023-11-27 09:30:16.535695;87;3.86E-41
3.90E-41;5.34E-41;0;8;2023-11-27 09:30:16.535695;87;5.31E-41
6.52E-41;7.29E-41;2;8;2023-11-27 09:30:16.535695;88;6.50E-41
7.52E-41;7.19E-41;4;8;2023-11-27 09:30:16.535695;88;7.28E-41
6.31E-41;5.06E-41;6;8;2023-11-27 09:30:16.535695;89;7.53E-41
3.60E-41;2.16E-41;8;8;2023-11-27 09:30:16.535695;89;7.22E-41
9.74E-42;2.05E-42;10;8;2023-11-27 09:30:16.535695;90;6.36E-41
3.21E-43;5.61E-42;12;8;2023-11-27 09:30:16.535695;90;5.12E-41
1.27E-41;2.54E-41;14;8;2023-11-27 09:30:16.541458;91;3.66E-41
3.85E-41;5.30E-41;0;9;2023-11-27 09:30:16.541458;91;2.22E-41
6.50E-41;7.27E-41;2;9;2023-11-27 09:30:16.541458;92;1.01E-41
7.52E-41;7.22E-41;4;9;2023-11-27 09:30:16.541458;92;2.23E-42
6.36E-41;5.11E-41;6;9;2023-11-27 09:30:16.541458;93;3.17E-43
3.66E-41;2.21E-41;8;9;2023-11-27 09:30:16.541458;93;4.63E-42
1.00E-41;2.22E-42;10;9;2023-11-27 09:30:16.541458;94;1.18E-41
3.19E-43;4.48E-42;12;9;2023-11-27 09:30:16.541458;94;2.40E-41
1.18E-41;2.40E-41;14;9;2023-11-27 09:30:16.541458;95;3.90E-41
3.90E-41;5.35E-41;0;8;2023-11-27 09:30:16.547439;95;5.34E-41
6.53E-41;7.29E-41;2;8;2023-11-27 09:30:16.547439;96;6.53E-41
7.52E-41;7.19E-41;4;8;2023-11-27 09:30:16.547439;96;7.29E-41
6.31E-41;5.06E-41;6;8;2023-11-27 09:30:16.547439;97;7.52E-41
3.61E-41;2.16E-41;8;8;2023-11-27 09:30:16.547439;97;7.19E-41
9.75E-42;2.05E-42;10;8;2023-11-27 09:30:16.547439;98;6.32E-41
3.25E-43;5.61E-42;12;8;2023-11-27 09:30:16.547439;98;5.06E-41
1.27E-41;2.54E-41;14;8;2023-11-27 09:30:16.547439;99;3.61E-41
3.85E-41;5.30E-41;0;9;2023-11-27 09:30:16.547439;99;2.16E-41
6.49E-41;7.27E-41;2;9;2023-11-27 09:30:16.555524;100;9.74E-42
7.51E-41;7.21E-41;4;9;2023-11-27 09:30:16.556445;100;2.05E-42
6.35E-41;5.11E-41;6;9;2023-11-27 09:30:16.558639;101;3.25E-43
3.66E-41;2.21E-41;8;9;2023-11-27 09:30:16.559443;101;5.60E-42
1.00E-41;2.22E-42;10;9;2023-11-27 09:30:16.560483;102;1.27E-41
3.24E-43;4.37E-42;12;9;2023-11-27 09:30:16.561448;102;2.54E-41
1.17E-41;2.40E-41;14;9;2023-11-27 09:30:16.562446;103;3.85E-41
3.90E-41;5.35E-41;0;8;2023-11-27 09:30:16.563422;103;5.30E-41
6.53E-41;7.30E-41;2;8;2023-11-27 09:30:16.563422;104;6.49E-41
7.53E-41;7.20E-41;4;8;2023-11-27 09:30:16.563422;104;7.27E-41
6.32E-41;5.07E-41;6;8;2023-11-27 09:30:16.563422;105;7.52E-41
3.61E-41;2.17E-41;8;8;2023-11-27 09:30:16.563422;105;7.21E-41
9.76E-42;2.05E-42;10;8;2023-11-27 09:30:16.564422;106;6.35E-41
3.24E-43;5.57E-42;12;8;2023-11-27 09:30:16.564422;106;5.11E-41
1.27E-41;2.54E-41;14;8;2023-11-27 09:30:16.564422;107;3.66E-41
3.85E-41;5.30E-41;0;9;2023-11-27 09:30:16.564422;107;2.21E-41
6.49E-41;7.27E-41;2;9;2023-11-27 09:30:16.565422;108;1.00E-41
7.51E-41;7.21E-41;4;9;2023-11-27 09:30:16.565422;108;2.23E-42
6.35E-41;5.11E-41;6;9;2023-11-27 09:30:16.566422;109;3.21E-43
3.66E-41;2.21E-41;8;9;2023-11-27 09:30:16.566422;109;4.44E-42
1.00E-41;2.23E-42;10;9;2023-11-27 09:30:16.566422;110;1.17E-41
3.19E-43;4.38E-42;12;9;2023-11-27 09:30:16.567425;110;2.40E-41
1.18E-41;2.40E-41;14;9;2023-11-27 09:30:16.567425;111;3.90E-41
3.90E-41;5.35E-41;0;8;2023-11-27 09:30:16.567425;111;5.35E-41
6.53E-41;7.30E-41;2;8;2023-11-27 09:30:16.567425;112;6.54E-41
7.53E-41;7.20E-41;4;8;2023-11-27 09:30:16.567425;112;7.30E-41
6.32E-41;5.07E-41;6;8;2023-11-27 09:30:16.567425;113;7.53E-41
3.61E-41;2.17E-41;8;8;2023-11-27 09:30:16.573457;113;7.20E-41
9.75E-42;2.05E-42;10;8;2023-11-27 09:30:16.573457;114;6.32E-41
3.17E-43;5.59E-42;12;8;2023-11-27 09:30:16.573457;114;5.07E-41
1.27E-41;2.54E-41;14;8;2023-11-27 09:30:16.573457;115;3.61E-41
3.85E-41;5.30E-41;0;9;2023-11-27 09:30:16.574425;115;2.17E-41
6.49E-41;7.27E-41;2;9;2023-11-27 09:30:16.574425;116;9.75E-42
7.51E-41;7.21E-41;4;9;2023-11-27 09:30:16.574425;116;2.06E-42
6.35E-41;5.11E-41;6;9;2023-11-27 09:30:16.574425;117;3.24E-43
3.66E-41;2.21E-41;8;9;2023-11-27 09:30:16.574425;117;5.61E-42
1.00E-41;2.23E-42;10;9;2023-11-27 09:30:16.579419;118;1.27E-41
3.24E-43;4.42E-42;12;9;2023-11-27 09:30:16.579419;118;2.54E-41
1.17E-41;2.40E-41;14;9;2023-11-27 09:30:16.579419;119;3.85E-41
3.90E-41;5.35E-41;0;8;2023-11-27 09:30:16.579419;119;5.30E-41
6.53E-41;7.29E-41;2;8;2023-11-27 09:30:16.579419;120;6.49E-41
7.52E-41;7.19E-41;4;8;2023-11-27 09:30:16.579419;120;7.26E-41
6.32E-41;5.07E-41;6;8;2023-11-27 09:30:16.579419;121;7.51E-41
3.61E-41;2.16E-41;8;8;2023-11-27 09:30:16.579419;121;7.20E-41
9.75E-42;2.06E-42;10;8;2023-11-27 09:30:16.579419;122;6.35E-41
3.24E-43;5.59E-42;12;8;2023-11-27 09:30:16.586497;122;5.11E-41
1.27E-41;2.54E-41;14;8;2023-11-27 09:30:16.586497;123;3.66E-41
3.85E-41;5.31E-41;0;9;2023-11-27 09:30:16.586497;123;2.21E-41
6.50E-41;7.28E-41;2;9;2023-11-27 09:30:16.586497;124;1.00E-41
7.52E-41;7.22E-41;4;9;2023-11-27 09:30:16.586497;124;2.23E-42
6.36E-41;5.12E-41;6;9;2023-11-27 09:30:16.586497;125;3.18E-43
3.66E-41;2.21E-41;8;9;2023-11-27 09:30:16.586497;125;4.42E-42
1.01E-41;2.23E-42;10;9;2023-11-27 09:30:16.586497;126;1.17E-41
3.25E-43;4.50E-42;12;9;2023-11-27 09:30:16.586497;126;2.40E-41
1.18E-41;2.40E-41;14;9;2023-11-27 09:30:16.592507;127;3.90E-41
3.90E-41;5.34E-41;0;8;2023-11-27 09:30:16.592507;127;5.35E-41
6.52E-41;7.29E-41;2;8;2023-11-27 09:30:16.592507;128;6.53E-41
7.52E-41;7.18E-41;4;8;2023-11-27 09:30:16.592507;128;7.30E-41
6.31E-41;5.06E-41;6;8;2023-11-27 09:30:16.592507;129;7.53E-41
