4.19E-41;5.24E-41;2;8;2023-11-27 08:55:19.526867;0;4.19E-41
6.06E-41;6.54E-41;4;8;2023-11-27 08:55:19.527778;0;5.24E-41
6.61E-41;6.25E-41;6;8;2023-11-27 08:55:19.527778;1;6.06E-41
5.54E-41;4.54E-41;8;8;2023-11-27 08:55:19.527778;1;6.54E-41
3.43E-41;2.37E-41;10;8;2023-11-27 08:55:19.527778;2;6.61E-41
1.53E-41;1.01E-41;12;8;2023-11-27 08:55:19.527778;2;6.25E-41
9.50E-42;1.33E-41;14;8;2023-11-27 08:55:19.530303;3;5.54E-41
2.12E-41;3.09E-41;0;9;2023-11-27 08:55:19.530303;3;4.54E-41
4.20E-41;5.27E-41;2;9;2023-11-27 08:55:19.530303;4;3.43E-41
6.09E-41;6.58E-41;4;9;2023-11-27 08:55:19.530303;4;2.37E-41
6.65E-41;6.29E-41;6;9;2023-11-27 08:55:19.530303;5;1.53E-41
5.56E-41;4.56E-41;8;9;2023-11-27 08:55:19.530303;5;1.01E-41
3.43E-41;2.35E-41;10;9;2023-11-27 08:55:19.530303;6;9.50E-42
1.51E-41;9.74E-42;12;9;2023-11-27 08:55:19.530303;6;1.33E-41
8.98E-42;1.26E-41;14;9;2023-11-27 08:55:19.530303;7;2.12E-41
2.13E-41;3.10E-41;0;8;2023-11-27 08:55:19.535523;7;3.09E-41
4.19E-41;5.24E-41;2;8;2023-11-27 08:55:19.535550;8;4.20E-41
6.06E-41;6.54E-41;4;8;2023-11-27 08:55:19.535550;8;5.27E-41
6.61E-41;6.25E-41;6;8;2023-11-27 08:55:19.535550;9;6.09E-41
5.54E-41;4.54E-41;8;8;2023-11-27 08:55:19.535774;9;6.58E-41
3.43E-41;2.37E-41;10;8;2023-11-27 08:55:19.535774;10;6.65E-41
1.53E-41;1.00E-41;12;8;2023-11-27 08:55:19.535774;10;6.29E-41
9.50E-42;1.33E-41;14;8;2023-11-27 08:55:19.535774;11;5.56E-41
2.12E-41;3.09E-41;0;9;2023-11-27 08:55:19.535774;11;4.56E-41
4.20E-41;5.26E-41;2;9;2023-11-27 08:55:19.541370;12;3.43E-41
6.09E-41;6.58E-41;4;9;2023-11-27 08:55:19.541370;12;2.35E-41
6.65E-41;6.28E-41;6;9;2023-11-27 08:55:19.541370;13;1.51E-41
