Cp A 2 ms;Cp P 2 ms;Cr A 2 ms;Cr P 2 ms;Cp A 4 ms;Cp P 4 ms;Cr A 4 ms;Cr P 4 ms;Cp A 10 ms;Cp P 10 ms;Cr A 10 ms;Cr P 10 ms;Cp A 20 ms;Cp P 20 ms;Cr A 20 ms;Cr P 20 ms;Cp A 80 ms;Cp P 80 ms;Cr A 80 ms;Cr P 80 ms
90.13595581;84.14309692;91.7146759;85.90437317;90.12055206;84.23544312;91.73411179;85.89182663;90.12057037;84.22197571;91.72983856;84.22197571;90.12007446;84.24202499;91.71992111;85.90888824;90.14837971;84.21949253;91.70093899;85.92097416
90.08037567;84.40512848;91.62158966;85.92845917;90.12480164;84.20530701;91.72822571;85.94860458;90.07795563;84.27902222;91.71744995;84.27902222;90.10684967;84.23876648;91.71560974;85.91822968;90.15367031;84.2224987;91.70250778;85.9194315
90.16510773;84.06189728;91.75208282;85.86122131;90.11811829;84.23872375;91.71571732;85.90081406;90.14022064;84.22507629;91.73747559;84.22507629;90.15523224;84.21152649;91.71630478;85.91515121;90.1494133;84.2332386;91.70377235;85.91584587
89.91950989;84.4668045;91.63087463;85.96046448;90.09108734;84.27093506;91.77429581;85.87675095;90.1285202;84.23071747;91.73761444;84.23071747;90.12564545;84.25296173;91.7171402;85.90815735;90.15959454;84.22184086;91.69689674;85.91908951
90.19369507;84.06035614;91.68092346;85.92453766;90.06761551;84.28543091;91.71000671;85.89947128;90.14129639;84.20027924;91.70270691;84.20027924;90.1378334;84.22162323;91.70630035;85.91718979;90.15607166;84.22474194;91.70692673;85.92012119
89.9862442;84.42624664;91.63510895;85.95535278;90.08480835;84.27453232;91.73566437;85.89638901;90.12047119;84.23082733;91.69967346;84.23082733;90.12882004;84.23979416;91.70227814;85.91286926;90.15074406;84.22133179;91.69908333;85.91779861
90.16207123;84.13196564;91.67978668;85.94168854;90.1334343;84.21097946;91.72254181;85.93289948;90.12706146;84.23802948;91.68939209;84.23802948;90.10839691;84.25816269;91.7470459;85.88719254;90.14586926;84.23162708;91.69786053;85.92068901
90.03620148;84.36214447;91.6204071;85.96031189;90.12233734;84.1891098;91.76971054;85.89078522;90.09520569;84.23144684;91.70739441;84.23144684;90.11693192;84.23884964;91.72984238;85.92650604;90.13771858;84.22760296;91.70611343;85.91005917
90.1160965;84.16685486;91.72847748;85.91159821;90.10776901;84.22568893;91.70159149;85.905056;90.09356079;84.23468933;91.71977386;84.23468933;90.13005142;84.21544266;91.71171494;85.93370056;90.14814701;84.22856693;91.71116753;85.91388378
90.03022766;84.26972961;91.65646362;86.00662994;90.10233688;84.24163437;91.68920135;85.92144775;90.11094818;84.21701965;91.76522064;84.21701965;90.12647247;84.23582458;91.72836456;85.91306915;90.1567873;84.23324032;91.7042038;85.91754093
90.151474;84.17567444;91.72579956;85.89343262;90.12603378;84.22638321;91.65093231;85.94957733;90.0955246;84.21945343;91.76405792;84.21945343;90.14100876;84.22884979;91.73111191;85.89519806;90.15333824;84.22498951;91.6983345;85.92219429
90.09825897;84.26128387;91.65960693;85.98828125;90.14225388;84.2057724;91.73360443;85.9241066;90.13740387;84.21811676;91.73082123;84.21811676;90.13787308;84.23741074;91.70972443;85.91919098;90.14150982;84.2348629;91.70427303;85.92138138
90.18032837;84.19750214;91.69724274;85.89105988;90.14350891;84.22641373;91.69517517;85.93340302;90.12151184;84.23188477;91.72544861;84.23188477;90.13405685;84.2404892;91.69519348;85.91831741;90.12775631;84.23016148;91.71950569;85.91439724
90.05370331;84.27639771;91.68688202;86.01988983;90.09977722;84.22959518;91.66588974;85.97093582;90.1305069;84.22082062;91.70271912;84.22082062;90.12442627;84.23625412;91.73087463;85.9124115;90.14201756;84.22963619;91.70983276;85.91459351
90.22480011;84.18198395;91.66322327;85.89622498;90.11688995;84.25784302;91.73654938;85.92362976;90.09135895;84.23334808;91.75175323;84.23334808;90.12335663;84.22618179;91.71745987;85.90366898;90.14974251;84.23008404;91.70987053;85.9124979
90.07741547;84.27546692;91.69454956;86.01274872;90.09907913;84.28323746;91.72360992;85.89878082;90.12071686;84.26617279;91.74300385;84.26617279;90.11919708;84.2127594;91.73074951;85.91439667;90.11708717;84.23596344;91.71826267;85.90804691
90.2092514;84.19129181;91.65516663;85.89644623;90.08218384;84.2633667;91.73307037;85.88735962;90.0920105;84.20864105;91.74295959;84.20864105;90.110289;84.23126755;91.68927002;85.93492432;90.13261147;84.21570911;91.70967999;85.91812935
90.02446747;84.24945068;91.71780396;86.00392151;90.09091568;84.23932266;91.75430679;85.92155838;90.07224121;84.26699982;91.73299866;84.26699982;90.11305161;84.24595108;91.71268005;85.90622177;90.12981529;84.22732697;91.69990406;85.92131538
90.23574066;84.18995667;91.67990112;85.84035492;90.08355331;84.27733231;91.7035675;85.89163208;90.10512543;84.21244659;91.75245056;84.21244659;90.12078934;84.25313492;91.72320938;85.90098419;90.14478321;84.21882172;91.7084589;85.91748772
90.08493805;84.24030304;91.70116425;85.99111176;90.12107468;84.23802948;91.72363281;85.87498856;90.08321075;84.21209259;91.7435318;84.21209259;90.12587662;84.21743469;91.72185211;85.91023865;90.15734253;84.22683907;91.69656868;85.9276062
90.22652435;84.21775818;91.63876343;85.86395264;90.06787872;84.24442673;91.75198746;85.87447739;90.13693695;84.22149811;91.7260498;84.22149811;90.12858658;84.23107529;91.6926178;85.90392075;90.13249397;84.22834282;91.71560421;85.90630589
90.05889893;84.2130661;91.7297287;86.03231812;90.0752449;84.26395798;91.72481537;85.88969421;90.06470032;84.24120331;91.75419922;84.24120331;90.10731125;84.25511551;91.70222626;85.9207756;90.14334488;84.221731;91.7147316;85.92087669
90.19413757;84.25423431;91.60126495;85.84345245;90.04688644;84.26054764;91.73651886;85.89440536;90.11543121;84.25189362;91.74702454;84.25189362;90.13081131;84.23014526;91.73617096;85.91678238;90.14778366;84.21773968;91.71065578;85.91026211
90.09975433;84.314888;91.70869446;86.08717346;90.07690811;84.231884;91.70630264;85.94092178;90.10537567;84.20785675;91.74029541;84.20785675;90.1343399;84.22738495;91.73050385;85.9275856;90.15013485;84.22748489;91.70231075;85.91980457
