1199608392;599186;166;17;2023-12-13 14:17:24.042220;1
1199608392;599186;167;17;2023-12-13 14:17:24.042978;1
2549559;3154489;0;0;2023-12-13 14:17:24.042978;1
3953689;4790395;2;0;2023-12-13 14:17:24.042978;1
5553804;6161273;4;0;2023-12-13 14:17:24.042978;1
6407179;6427632;6;0;2023-12-13 14:17:24.042978;1
6131347;5504776;8;0;2023-12-13 14:17:24.042978;1
4703666;3884563;10;0;2023-12-13 14:17:24.057976;2
3222117;2705128;12;0;2023-12-13 14:17:24.057976;2
2318971;2250332;14;0;2023-12-13 14:17:24.057976;2
1199608392;599186;168;17;2023-12-13 14:17:24.057976;2
1199608392;599186;169;17;2023-12-13 14:17:24.057976;2
2550689;3155886;0;0;2023-12-13 14:17:24.057976;2
3955441;4792517;2;0;2023-12-13 14:17:24.058974;2
5556265;6164001;4;0;2023-12-13 14:17:24.058974;2
6410016;6430471;6;0;2023-12-13 14:17:24.058974;2
6134061;5507213;8;0;2023-12-13 14:17:24.071019;3
4705748;3886283;10;0;2023-12-13 14:17:24.071019;3
3223543;2706325;12;0;2023-12-13 14:17:24.071019;3
2319998;2251327;14;0;2023-12-13 14:17:24.071019;3
1199608392;599186;170;17;2023-12-13 14:17:24.071019;3
1199608392;599186;171;17;2023-12-13 14:17:24.071019;3
2551817;3157282;0;0;2023-12-13 14:17:24.071975;3
3957190;4794637;2;0;2023-12-13 14:17:24.071975;3
5558722;6166728;4;0;2023-12-13 14:17:24.071975;3
6412850;6433319;6;0;2023-12-13 14:17:24.085373;4
6136774;5509649;8;0;2023-12-13 14:17:24.085373;4
4707830;3888002;10;0;2023-12-13 14:17:24.085373;4
3224969;2707522;12;0;2023-12-13 14:17:24.085373;4
2321024;2252322;14;0;2023-12-13 14:17:24.085373;4
1199608392;599186;172;17;2023-12-13 14:17:24.086361;4
1199608392;599186;173;17;2023-12-13 14:17:24.086361;4
2552945;3158677;0;0;2023-12-13 14:17:24.086361;4
3958939;4796755;2;0;2023-12-13 14:17:24.086361;4
5561178;6169453;4;0;2023-12-13 14:17:24.099347;5
6415686;6436159;6;0;2023-12-13 14:17:24.099347;5
6139484;5512084;8;0;2023-12-13 14:17:24.099347;5
4709911;3889721;10;0;2023-12-13 14:17:24.099347;5
3226395;2708718;12;0;2023-12-13 14:17:24.099347;5
2322050;2253317;14;0;2023-12-13 14:17:24.099347;5
1199608392;599186;174;17;2023-12-13 14:17:24.099347;5
1199608392;599186;175;17;2023-12-13 14:17:24.099347;5
2554073;3160074;0;0;2023-12-13 14:17:24.100365;5
3960690;4798876;2;0;2023-12-13 14:17:24.113473;6
5563637;6172182;4;0;2023-12-13 14:17:24.113473;6
6418522;6439006;6;0;2023-12-13 14:17:24.113473;6
6142199;5514521;8;0;2023-12-13 14:17:24.113473;6
4711993;3891441;10;0;2023-12-13 14:17:24.113473;6
3227822;2709916;12;0;2023-12-13 14:17:24.113473;6
2323077;2254313;14;0;2023-12-13 14:17:24.113473;6
1199608392;599186;176;17;2023-12-13 14:17:24.113473;6
1199608392;599186;177;17;2023-12-13 14:17:24.113473;6
2555202;3161470;0;0;2023-12-13 14:17:24.127558;7
3962440;4800996;2;0;2023-12-13 14:17:24.127558;7
5566095;6174911;4;0;2023-12-13 14:17:24.127558;7
6421358;6441847;6;0;2023-12-13 14:17:24.127558;7
6144913;5516957;8;0;2023-12-13 14:17:24.127558;7
4714075;3893160;10;0;2023-12-13 14:17:24.127558;7
3229248;2711112;12;0;2023-12-13 14:17:24.127558;7
2324104;2255309;14;0;2023-12-13 14:17:24.127558;7
1199608392;599186;178;17;2023-12-13 14:17:24.127558;7
1199608392;599186;179;17;2023-12-13 14:17:24.137545;8
2556330;3162867;0;0;2023-12-13 14:17:24.137545;8
3964190;4803117;2;0;2023-12-13 14:17:24.137545;8
5568553;6177639;4;0;2023-12-13 14:17:24.137545;8
6424193;6444688;6;0;2023-12-13 14:17:24.137545;8
6147626;5519393;8;0;2023-12-13 14:17:24.138190;8
4716156;3894879;10;0;2023-12-13 14:17:24.138190;8
3230674;2712309;12;0;2023-12-13 14:17:24.138190;8
2325131;2256304;14;0;2023-12-13 14:17:24.138499;8
1199608392;599186;180;17;2023-12-13 14:17:24.151640;9
1199608392;599186;181;17;2023-12-13 14:17:24.151640;9
2557457;3164263;0;0;2023-12-13 14:17:24.151640;9
3965939;4805236;2;0;2023-12-13 14:17:24.151640;9
5571011;6180365;4;0;2023-12-13 14:17:24.151640;9
6427030;6447530;6;0;2023-12-13 14:17:24.151640;9
6150339;5521828;8;0;2023-12-13 14:17:24.151640;9
4718237;3896597;10;0;2023-12-13 14:17:24.152154;9
3232099;2713505;12;0;2023-12-13 14:17:24.152154;9
2326157;2257299;14;0;2023-12-13 14:17:24.165252;10
1199608392;599186;182;17;2023-12-13 14:17:24.165252;10
1199608392;599186;183;17;2023-12-13 14:17:24.165252;10
2558586;3165660;0;0;2023-12-13 14:17:24.165252;10
3967689;4807356;2;0;2023-12-13 14:17:24.165252;10
5573469;6183094;4;0;2023-12-13 14:17:24.165884;10
6429867;6450376;6;0;2023-12-13 14:17:24.166168;10
6153054;5524264;8;0;2023-12-13 14:17:24.166168;10
4720318;3898317;10;0;2023-12-13 14:17:24.166168;10
3233525;2714703;12;0;2023-12-13 14:17:24.179431;11
2327184;2258295;14;0;2023-12-13 14:17:24.179431;11
1199608392;599186;184;17;2023-12-13 14:17:24.179431;11
1199608392;599186;185;17;2023-12-13 14:17:24.179431;11
2559714;3167055;0;0;2023-12-13 14:17:24.179431;11
